종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"000995","DB하이텍1우","KOSPI",,"67200","-1300","-1.90","64200","71000","64200","1075","72990200","7547635200","112316"
"139130","DGB금융지주","KOSPI",,"6970","0","0.00","6920","7090","6910","321440","2240741290","1178946456010","169145833"
"001530","DI동일","KOSPI",,"13800","-150","-1.08","13800","14100","13550","73312","1012912250","352842126000","25568270"
"000210","DL","KOSPI",,"57300","-800","-1.38","57800","58600","57000","60076","3464045700","1200772153200","20955884"
"001880","DL건설","KOSPI",,"15650","700","4.68","14500","15950","14500","49554","758309000","345133894600","22053284"
"000215","DL우","KOSPI",,"34200","150","0.44","33400","34200","33300","1527","51422050","57665133000","1686115"
"375500","DL이앤씨","KOSPI",,"34300","-500","-1.44","34500","35200","33850","234039","8036600900","1327191268900","38693623"
"37550L","DL이앤씨2우(전환)","KOSPI",,"27700","-900","-3.15","28000","28400","27450","3927","109572650","58501042700","2111951"
"37550K","DL이앤씨우","KOSPI",,"24600","-600","-2.38","24200","24900","24200","3048","75128650","52001571000","2113885"
"068790","DMS","KOSDAQ","우량기업부","4540","25","0.55","4420","4575","4355","90604","403376390","111561696940","24573061"
"007340","DN오토모티브","KOSPI",,"61600","-100","-0.16","60200","61900","60200","18075","1103951100","615630708000","9994005"
"004840","DRB동일","KOSPI",,"4000","15","0.38","3950","4000","3890","13765","54433840","79720000000","19930000"
"241520","DSC인베스트먼트","KOSDAQ","벤처기업부","3715","-20","-0.54","3650","3730","3595","76003","278493590","103319362145","27811403"
"155660","DSR","KOSPI",,"4525","-25","-0.55","4460","4565","4460","19656","88426900","72400000000","16000000"
"069730","DSR제강","KOSPI",,"4080","-60","-1.45","4090","4120","4010","53259","216537470","58752000000","14400000"
"017940","E1","KOSPI",,"42350","-850","-1.97","43200","43200","42350","7522","320107450","290521000000","6860000"
"245620","EDGC","KOSDAQ","기술성장기업부","1835","35","1.94","1745","1835","1735","538636","964473430","154279333385","84075931"
"037370","EG","KOSDAQ","중견기업부","7240","-50","-0.69","7110","7320","7030","28249","201922490","62444797280","8624972"
"278990","EMB","KONEX","일반기업부","4520","0","0.00","0","0","0","0","0","16399563440","3628222"
"365550","ESR켄달스퀘어리츠","KOSPI",,"5050","-80","-1.56","5130","5200","5050","251332","1284513170","1076099450000","213089000"
"050120","ES큐브","KOSDAQ","중견기업부","4015","-370","-8.44","4305","4355","4015","94022","389034145","54459805290","13564086"
"084180","EV수성","KOSDAQ","중견기업부","1475","35","2.43","1430","1490","1405","796080","1165791725","92446782875","62675785"
"383220","F&F","KOSPI",,"137500","-5500","-3.85","142500","144000","134500","204310","28159785000","5267222812500","38307075"
"007700","F&F홀딩스","KOSPI",,"14650","200","1.38","14200","14700","14050","22575","324994900","573025476550","39114367"
"214270","FSN","KOSDAQ","중견기업부","3290","45","1.39","3140","3325","3110","131069","421127285","91805976080","27904552"
"130500","GH신소재","KOSDAQ","중견기업부","3305","-15","-0.45","3305","3390","3235","48726","161173875","48071396860","14545052"
"114090","GKL","KOSPI",,"14700","-50","-0.34","14900","14900","14350","182387","2657966950","909278349000","61855670"
"900290","GRT","KOSDAQ","외국기업(소속부없음)","2815","140","5.23","2705","2890","2680","657776","1849191940","189660625000","67375000"
"078930","GS","KOSPI",,"41700","-100","-0.24","42150","42400","41300","223244","9339261850","3874571262600","92915378"
"083450","GST","KOSDAQ","우량기업부","18600","250","1.36","18200","18750","18000","44495","818243550","173310057000","9317745"
"006360","GS건설","KOSPI",,"22550","-650","-2.80","22700","23250","22550","1086511","24796863350","1929862599500","85581490"
"001250","GS글로벌","KOSPI",,"2660","5","0.19","2600","2715","2575","1202687","3206573300","219539812240","82533764"
"007070","GS리테일","KOSPI",,"25600","-750","-2.85","26550","26650","25500","192251","4956963700","2680778803200","104717922"
"078935","GS우","KOSPI",,"34400","-100","-0.29","34500","34600","34200","399","13727300","61398014400","1784826"
"297890","HB솔루션","KOSDAQ","벤처기업부","13350","-350","-2.55","13350","13800","13050","64348","859814750","223213241550","16720093"
"078150","HB테크놀러지","KOSDAQ","우량기업부","1805","20","1.12","1755","1805","1735","245267","431580775","142577718930","78990426"
"012630","HDC","KOSPI",,"5920","-40","-0.67","5850","6000","5790","55156","324049340","353670988320","59741721"
"039570","HDC랩스","KOSPI",,"7990","20","0.25","7840","8190","7760","6899","55442840","207401231990","25957601"
"089470","HDC현대EP","KOSPI",,"3870","20","0.52","3795","3965","3725","29402","112234100","123453000000","31900000"
"294870","HDC현대산업개발","KOSPI",,"10350","-100","-0.96","10350","10600","10300","200138","2084731400","682140865500","65907330"
"267250","HD현대","KOSPI",,"54100","-900","-1.64","55500","55500","53500","173719","9440603900","4273525898500","78993085"
"097230","HJ중공업","KOSPI",,"4300","-60","-1.38","4485","4485","4075","22942","97798160","358079408300","83274281"
"195940","HK이노엔","KOSDAQ","벤처기업부","32950","250","0.76","32150","33600","32100","161120","5316059000","952403242050","28904499"
"014790","HL D&I","KOSPI",,"3070","-35","-1.13","3030","3135","2995","106542","324739030","116225905070","37858601"
"028300","HLB","KOSDAQ","중견기업부","42850","1050","2.51","41100","43250","41050","549475","23270348200","4580814160850","106903481"
"003580","HLB글로벌","KOSPI",,"7710","150","1.98","7340","7750","7340","293411","2218561670","326649893820","42367042"
"343090","HLB사이언스","KONEX","일반기업부","3195","-170","-5.05","3700","3700","3060","7425","23696635","36937915785","11561163"
"067630","HLB생명과학","KOSDAQ","중견기업부","12800","250","1.99","12500","12850","12450","523567","6632904800","1236952691200","96636929"
"047920","HLB제약","KOSDAQ","기술성장기업부","15000","100","0.67","14600","15200","14500","361047","5364933200","418067250000","27871150"
"115450","HLB테라퓨틱스","KOSDAQ","중견기업부","14250","450","3.26","13700","14300","13650","441693","6226162650","446526756750","31335211"
"204320","HL만도","KOSPI",,"44350","-1800","-3.90","45950","46300","43900","294851","13145216300","2082548272000","46957120"
"060980","HL홀딩스","KOSPI",,"31700","-1250","-3.79","32350","32800","31250","55358","1752378950","331964619000","10472070"
"011200","HMM","KOSPI",,"18500","-100","-0.54","18200","19100","18200","2227292","41525558450","9047230676000","489039496"
"403870","HPSP","KOSDAQ","중견기업부","55200","-200","-0.36","54000","55800","50100","367809","19456911100","1101217644000","19949595"
"036640","HRS","KOSDAQ","우량기업부","5120","-170","-3.21","5190","5330","5070","218940","1130707230","83736576000","16354800"
"082740","HSD엔진","KOSPI",,"7140","190","2.73","6820","7240","6790","557201","3941642640","510824117160","71543994"
"335870","IBKS제12호스팩","KOSDAQ","SPAC(소속부없음)","10150","-4350","-30.00","10550","11500","10150","567536","5962507650","31668000000","3120000"
"351340","IBKS제13호스팩","KOSDAQ","SPAC(소속부없음)","1925","-45","-2.28","2000","2000","1905","104280","201510330","9952250000","5170000"
"388790","IBKS제16호스팩","KOSDAQ","SPAC(소속부없음)","2225","0","0.00","0","0","0","0","0","7587250000","3410000"
"405350","IBKS제17호스팩","KOSDAQ","SPAC(소속부없음)","2405","0","0.00","2410","2515","2390","512763","1243711065","6541600000","2720000"
"424760","IBKS제18호스팩","KOSDAQ","SPAC(소속부없음)","2165","-60","-2.70","2210","2210","2150","135928","294915845","9157950000","4230000"
"426550","IBKS제19호스팩","KOSDAQ","SPAC(소속부없음)","2225","20","0.91","2190","2225","2185","21916","48168185","11303000000","5080000"
"003560","IHQ","KOSPI",,"493","41","9.07","430","497","430","2138553","1023163536","91626170886","185854302"
"095340","ISC","KOSDAQ","우량기업부","32200","-200","-0.62","31650","32550","30100","342496","10697900800","560262966200","17399471"
"099520","ITX-AI","KOSDAQ","관리종목(소속부없음)","1285","0","0.00","0","0","0","0","0","37652662655","29301683"
"175330","JB금융지주","KOSPI",,"6960","-70","-1.00","6900","6980","6880","178459","1236504640","1371000942240","196982894"
"950170","JTC","KOSDAQ","관리종목(소속부없음)","3500","60","1.74","3505","3550","3335","74047","253623315","122519309500","35005517"
"234080","JW생명과학","KOSPI",,"11300","-100","-0.88","11350","11450","11150","12211","137739600","178930460200","15834554"
"067290","JW신약","KOSDAQ","중견기업부","3240","-100","-2.99","3350","3520","3235","1383478","4663122375","149452895880","46127437"
"001060","JW중외제약","KOSPI",,"17600","-150","-0.85","17450","18150","17250","60461","1076797400","390334225600","22178081"
